step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,10.16711711883545,0.4000000059604645,,8.555203056335449,0.4,,,,,2025-10-25T16:55:36.9120000Z
2,8.960275650024414,0.6000000238418579,,10.401637268066406,0.4,,,,,2025-10-25T16:55:38.2490000Z
3,10.596221923828125,0.4000000059604645,,8.39293975830078,0.4,,,,,2025-10-25T16:55:39.5780000Z
4,9.099634170532227,0.4000000059604645,,8.293261337280274,0.4,,,,,2025-10-25T16:55:40.9140000Z
5,8.192716598510742,0.4000000059604645,,10.063341903686524,0.4,,,,,2025-10-25T16:55:42.2370000Z
6,9.143938064575195,0.4000000059604645,,8.879155349731445,0.4,,,,,2025-10-25T16:55:43.5670000Z
7,8.54932689666748,0.4000000059604645,,8.448820495605469,0.6,,,,,2025-10-25T16:55:44.8980000Z
8,7.888191223144531,0.4000000059604645,,7.646991348266601,0.4,,,,,2025-10-25T16:55:46.2150000Z
9,8.216755867004395,0.4000000059604645,,8.616396713256837,0.6,,,,,2025-10-25T16:55:47.5520000Z
10,7.5040130615234375,0.6000000238418579,,8.665478515625,0.6,,,,,2025-10-25T16:55:48.9050000Z
11,7.90346622467041,0.6000000238418579,,7.834137344360352,0.6,,,,,2025-10-25T16:55:50.2150000Z
12,7.603179931640625,0.6000000238418579,,6.815267562866211,0.6,,,,,2025-10-25T16:55:53.9660000Z
13,7.389315605163574,0.6000000238418579,,7.300601959228516,0.6,,,,,2025-10-25T16:55:55.3160000Z
14,6.819279670715332,0.6000000238418579,,6.668100738525391,0.6,,,,,2025-10-25T16:55:56.6400000Z
15,6.707821846008301,0.6000000238418579,,6.889898300170898,0.6,,,,,2025-10-25T16:55:57.9780000Z
16,7.079890251159668,0.6000000238418579,,7.04298210144043,0.6,,,,,2025-10-25T16:55:59.2880000Z
17,6.437219142913818,0.6000000238418579,,6.548519897460937,0.6,,,,,2025-10-25T16:56:00.6140000Z
